Position Name,Date,Activity Name,Total Duration,Total Player Load,Player Load Per Minute,Maximum Velocity (mph),Max Acceleration,Total Distance (y),Total IMA (Average),IMA CoD Right Medium,IMA CoD Right High,IMA CoD Left Medium,IMA CoD Left High,Velocity B4+ Total # Efforts (Gen 2),Velocity B5+ Total # Efforts (Gen 2),Velocity B6+ Total # Efforts (Gen 2),IMA Accel Medium,IMA Accel High,IMA Decel Medium,IMA Decel High,HSR Velocity Band 4 Total Distance (y),VHSR Velocity Band 5 Total Distance (y),SPR Velocity Band 6 Total Distance (y)
Forward,7/18/2023,2023 - 7-18 Conditioning,1:49:12,676.75084,6.19735,16.20565,4.08239,2775.5477,26,34,7,21,5,21,19,15,27,10,12,4,152.84339,246.40201,624.68288
Forward,7/19/2023,2023 - 7-19 Conditioning,1:49:06,640.56268,5.87134,15.34651,4.21425,5758.61467,18,19,4,28,5,84,7,1,22,5,9,4,854.07915,73.65485,7.535
Forward,7/20/2023,2023 - 7-20 Conditioning,1:20:00,511.37564,6.56648,0,0,0,19,22,4,21,3,0,0,0,22,9,8,3,0,0,0
Forward,7/21/2023,2023 - 7-21 Conditioning,0:39:00,257.14169,6.59338,17.35522,3.58682,2487.54146,1,1,0,0,0,16,12,9,2,1,0,0,171.86132,583.55203,658.50833
Forward,7/24/2023,2023 - 7-25 Conditioning,2:40:20,907.60889,5.66076,18.98131,4.73872,8252.73984,20,10,1,23,2,100,42,17,18,10,15,7,1056.75854,605.09625,380.09623
Forward,7/26/2023,2023 - 7-26 Conditioning,0:29:00,363.26178,12.52627,16.09263,3.97153,3041.4809,3,0,0,10,3,54,36,14,2,0,0,0,800.86395,647.13472,301.42169
Forward,7/26/2023,2023 - 7-26 Captains Session,1:01:00,472.62527,7.74796,0,0,0,11,11,4,15,3,0,0,0,10,3,9,1,0,0,0
Forward,7/27/2023,7/27/2023,1:56:30,648.76837,5.56883,16.94223,4.22522,5442.4611,12,9,3,7,8,50,19,6,17,1,1,0,520.26467,292.465,182.49125
Forward,7/28/2023,2023 - 7-28 Conditioning,0:35:37,337.84995,9.48573,19.40802,5.90673,2846.97979,1,2,0,1,0,44,23,11,2,1,2,0,623.32674,294.90377,185.06124
Forward,7/31/2023,2023 - 7-31 Training,1:29:00,581.34918,6.53201,15.33368,4.23936,5964.19154,19,23,2,13,5,78,10,1,8,9,4,3,672.10193,116.53543,12.88276
Forward,8/1/2023,8/1/2023,1:27:45,551.41553,6.28351,12.90659,3.90791,4906.93668,6,5,0,10,3,119,5,0,13,3,3,0,1611.78916,58.8692,0
Forward,8/2/2023,2023 - 8-2 training,2:00:11,611.04607,5.08394,16.97344,3.4359,5876.12644,18,17,2,20,6,78,4,1,18,3,8,7,847.48467,44.48819,30.5993
