Position Name,Date,Activity Name,Total Duration,Total Player Load,Player Load Per Minute,Maximum Velocity (mph),Max Acceleration,Total Distance (y),Total IMA (Average),IMA CoD Right Medium,IMA CoD Right High,IMA CoD Left Medium,IMA CoD Left High,Velocity B4+ Total # Efforts (Gen 2),Velocity B5+ Total # Efforts (Gen 2),Velocity B6+ Total # Efforts (Gen 2),IMA Accel Medium,IMA Accel High,IMA Decel Medium,IMA Decel High,HSR Velocity Band 4 Total Distance (y),VHSR Velocity Band 5 Total Distance (y),SPR Velocity Band 6 Total Distance (y)
Defender,9/22/2022,WSOC Game vs Iowa,0:31:17,244.99284,7.83104,13.76601,3.32343,2052.64822,5,5,0,4,0,19,2,0,10,3,2,2,242.49782,24.56255,0
Defender,9/23/2022,WSOC Training,1:17:12,576.91846,7.47257,16.83881,4.02161,4973.82593,12,17,2,11,2,69,9,5,17,5,13,3,545.60369,82.62248,129.0245
Defender,9/24/2022,WSOC Training,1:18:01,445.44067,5.70862,14.86518,3.26067,4260.77339,11,5,2,4,0,47,7,1,10,8,7,1,638.04681,88.85608,7.27253
Defender,9/25/2022,WSOC Game vs Purdue,0:31:15,225.76984,7.22113,11.10978,3.12597,1902.90637,4,4,0,3,0,16,0,0,10,4,4,0,173.19553,0,0
Defender,9/27/2022,WSOC Training,0:59:44,249.72845,4.18009,16.83854,3.99315,2135.00812,2,4,0,5,0,29,6,3,5,1,5,1,228.02931,47.0035,52.29659
Defender,9/28/2022,WSOC Training,1:30:14,536.16868,5.94175,16.40857,3.94436,5164.42637,13,12,1,15,3,87,15,5,18,7,15,2,862.31409,148.55643,84.14261
Defender,9/29/2022,WSOC Game at PSU,0:31:24,204.70853,6.51661,14.46978,3.30038,1761.2239,2,2,0,4,0,20,1,1,9,2,1,0,225.98425,10.55337,5.46807
Defender,9/30/2022,WSOC Training,1:13:51,575.2932,7.7895,12.38984,3.35625,5470.70245,3,7,1,11,1,74,1,0,7,1,15,0,718.00089,13.15617,0
Defender,10/1/2022,WSOC Training,0:59:22,407.7253,6.8668,13.36043,3.80808,3859.94185,11,9,4,10,0,47,3,0,19,7,3,0,683.45362,27.76684,0
Defender,10/2/2022,WSOC Game at Maryland,0:27:34,195.71707,7.09943,12.84626,3.49063,1775.62505,5,7,0,6,2,27,2,0,11,3,0,0,286.85477,27.98556,0
Defender,10/4/2022,WSOC Training,1:26:34,668.94834,7.72675,16.20201,3.7703,6434.18634,20,7,1,19,6,79,15,7,19,13,14,0,901.12641,200.82022,110.81584
Defender,10/5/2022,WSOC Training,1:22:25,450.00071,5.45963,14.4066,3.67652,4280.31942,5,13,1,13,1,57,7,1,12,1,5,2,642.04944,96.27078,9.2629
Defender,10/6/2022,WSOC Training,1:19:53,620.59734,7.76794,14.04623,3.97868,6109.07737,18,19,1,10,4,113,1,0,11,9,7,4,1091.612,45.12248,0
Defender,10/7/2022,WSOC Training,1:26:19,659.22481,7.6363,15.3735,4.19215,6428.92567,8,7,0,7,0,92,18,3,18,6,8,2,1006.26639,231.11329,76.06081
Defender,10/8/2022,WSOC Training,0:57:22,338.0162,5.89132,11.08955,2.787,2876.60574,6,9,1,12,1,21,0,0,10,4,4,0,182.25065,0,0
Defender,10/9/2022,WSOC Game vs UM,0:41:16,280.68324,6.80024,12.17237,3.32091,2268.26472,6,3,1,4,2,22,0,0,11,3,4,0,230.23841,3.28084,0
Defender,10/11/2022,WSOC Training,1:32:44,500.14118,5.39314,16.1195,4.16027,4563.93383,6,5,0,9,3,62,22,4,17,3,6,0,730.09623,279.22135,52.43876
Defender,10/12/2022,WSOC Training,1:18:09,538.80659,6.89384,14.05473,3.05071,4702.50855,12,16,2,7,3,40,3,0,15,7,10,0,354.60411,36.27515,0
Defender,10/13/2022,WSOC Game vs Indiana,0:41:28,277.7435,6.69756,13.67244,3.6689,2231.45583,7,1,2,6,1,25,2,0,10,3,3,1,246.08486,32.40376,0
Defender,10/14/2022,WSOC Training,1:22:06,631.00971,7.68527,16.04354,3.79001,5970.51026,8,11,2,11,4,69,6,4,27,2,6,0,853.56516,259.37226,205.85083
Defender,10/15/2022,WSOC Training,0:49:40,303.51473,6.10987,15.11833,3.81099,3074.32761,6,2,2,2,1,39,3,1,5,3,4,0,550.42651,56.74759,12.66404
Defender,10/18/2022,WSOC Training,1:17:30,454.38691,5.86238,0,0,0,8,3,2,5,1,0,0,0,11,5,2,0,0,0,0
Defender,10/19/2022,WSOC Training,1:10:20,362.46466,5.15329,12.89452,3.56264,3536.32159,8,3,1,9,1,61,5,0,11,3,2,3,771.04112,43.30709,0
Defender,10/20/2022,WSOC Game at OSU,0:48:42,268.44216,5.51091,12.68068,3.4831,2276.07062,3,6,0,8,0,23,1,0,13,3,3,0,280.479,6.68198,0
Defender,10/21/2022,WSOC Training,0:58:02,410.96636,7.08131,14.36077,3.62228,3705.84964,15,8,4,12,2,49,2,1,13,8,8,1,652.51532,26.6951,6.12423
Defender,10/22/2022,WSOC Training,1:15:44,301.05688,3.97468,11.7456,3.09331,3171.91608,3,4,0,8,3,21,0,0,10,0,6,0,180.62117,0,0
Defender,10/23/2022,WSOC Game vs Rutgers,0:48:22,272.24522,5.62746,11.6264,3.43966,2226.45314,2,2,0,9,1,20,0,0,13,0,1,1,229.5713,0,0
Defender,10/25/2022,WSOC Training,1:01:01,571.53593,9.36563,14.76677,3.27753,5633.99894,6,10,0,6,0,94,16,3,12,3,7,3,1192.3994,212.08443,37.2266
Defender,10/26/2022,WSOC Training,2:03:18,789.06605,6.39912,15.85822,3.54992,7256.22285,11,13,2,12,3,116,16,2,22,5,10,1,1469.14916,203.02931,27.7559
Defender,10/27/2022,WSOC Training,1:38:48,708.89286,7.17454,17.03808,4.20556,6552.18344,16,15,3,14,4,100,15,6,19,7,6,2,1154.04637,198.80797,111.61417
Defender,10/28/2022,WSOC Training,1:09:23,467.5392,6.73799,15.67468,4.00708,4600.01455,14,13,0,8,2,84,18,9,18,11,6,1,940.45275,281.52887,161.89851
Defender,10/29/2022,WSOC Training,0:50:52,295.64265,5.81114,11.06979,2.98053,2606.48609,1,2,0,3,0,27,0,0,11,1,1,0,267.25723,0,0
Defender,10/30/2022,WSOC Game vs Minnesota,0:46:04,287.1676,6.23259,11.91018,3.69365,2379.05481,5,1,0,3,2,22,0,0,8,2,5,1,264.52319,2.24191,0
Defender,11/1/2022,WSOC Training,1:32:05,743.93395,8.07796,14.72883,3.81506,7309.62973,21,11,4,19,8,93,13,1,16,7,4,2,1056.91165,169.22572,8.23491
Defender,11/2/2022,WSOC Training,1:00:13,421.87224,7.00546,13.9618,3.27378,4180.84613,6,7,0,2,1,54,10,0,10,4,6,1,637.8062,154.56037,0
Defender,11/3/2022,WSOC Game vs Nebraska,0:30:44,251.76128,8.19171,12.93968,3.62423,2130.41918,8,0,1,6,2,26,1,0,13,5,0,0,310.27997,12.48906,0
Defender,11/4/2022,WSOC Training,0:37:49,299.05224,7.90554,13.10709,3.46495,2695.8545,5,7,1,11,0,41,5,0,5,3,6,1,390.90114,35.70647,0
Defender,11/5/2022,WSOC Training,0:46:45,215.11348,4.60034,11.50953,3.01982,1925.67357,5,1,1,4,0,10,0,0,9,4,3,0,89.29353,0,0
Defender,11/6/2022,WSOC Game vs PSU,0:32:38,275.55496,8.44078,12.78406,3.72386,2259.67101,6,4,0,4,3,24,3,0,12,3,3,0,298.79703,17.0385,0
Defender,11/8/2022,WSOC Training,1:20:15,735.94278,9.17011,14.23463,3.72593,7134.49528,13,10,1,14,2,103,5,1,24,9,14,1,1080.05249,76.91383,4.77909
Defender,11/9/2022,WSOC Training,1:43:14,620.63246,6.01183,14.57279,3.40484,5890.74547,12,10,4,18,4,72,9,1,17,4,13,0,702.29657,93.86483,15.47463
Defender,11/10/2022,WSOC Training,1:06:42,433.66407,6.50119,13.97112,4.12135,4051.01729,14,15,3,6,1,66,4,0,19,8,9,2,587.37971,50.38276,0
Defender,11/14/2022,WSOC Training,1:52:55,696.72635,6.16943,13.73314,3.39822,6256.35991,14,19,4,22,4,62,3,0,18,5,12,1,760.7721,49.67192,0
Defender,11/15/2022,WSOC Training,1:11:35,510.12702,7.12559,15.11552,3.21282,5011.74582,9,8,1,3,2,63,12,0,13,5,4,1,744.99124,170.24279,5.97113
